MS3_id	ipro_id	ipro_descr	uniqIpro
MS3_11443	IPR013822	Signal recognition particle, SRP54 subunit, helical bundle	0
MS3_11442			0
MS3_11441			0
MS3_11440			0
MS3_11439			0
MS3_11438			0
MS3_11437	IPR011701	Major facilitator superfamily	0
MS3_11436			0
MS3_11435			0
MS3_11434			0
MS3_11433			0
MS3_11432	IPR004000	Actin family	0
MS3_11431			0
MS3_11430	IPR000276	G protein-coupled receptor, rhodopsin-like	0
MS3_11429	IPR012988	Ribosomal protein L30, N-terminal	1
MS3_11429	IPR016082	Ribosomal protein L30, ferredoxin-like fold domain	0
MS3_11428	IPR002068	Alpha crystallin/Hsp20 domain	0
MS3_11427	IPR015015	F-actin binding	1
MS3_11426			0
MS3_11425			0
MS3_11424	IPR004166	MHCK/EF2 kinase	0
MS3_11423			0
MS3_11422	IPR006148	Glucosamine/galactosamine-6-phosphate isomerase	0
MS3_11421			0
MS3_11420			0
MS3_11419	IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain	0
MS3_11418			0
MS3_11417			0
MS3_11416	IPR020683	Ankyrin repeat-containing domain	0
MS3_11415			0
MS3_11414			0
MS3_11413			0
MS3_11412			0
MS3_11411	IPR013126	Heat shock protein 70 family	0
MS3_11410			0
MS3_11409	IPR014044	CAP domain	0
MS3_11408			0
MS3_11407			0
MS3_11406			0
MS3_11405			0
MS3_11404			0
MS3_11403			0
MS3_11402			0
MS3_11401	IPR009563	Sjoegren syndrome/scleroderma autoantigen 1	1
MS3_11400	IPR032071	Domain of unknown function DUF4806	0
MS3_11399	IPR032429	Nibrin, second BRCT domain	1
MS3_11398			0
MS3_11397			0
MS3_11396	IPR002713	FF domain	0
MS3_11395	IPR032840	CFAP91 domain	0
MS3_11394	IPR001806	Small GTPase superfamily	0
MS3_11393			0
MS3_11392	IPR007867	Glucose-methanol-choline oxidoreductase, C-terminal	0
MS3_11391			0
MS3_11390	IPR007653	Signal peptidase complex subunit 3	1
MS3_11389	IPR006768	Cwf19-like, C-terminal domain-1	0
MS3_11388			0
MS3_11387			0
MS3_11386	IPR021870	Major vault protein, shoulder domain	0
MS3_11385			0
MS3_11384			0
MS3_11383	IPR000547	Clathrin, heavy chain/VPS, 7-fold repeat	0
MS3_11382			0
MS3_11381			0
MS3_11380			0
MS3_11379			0
MS3_11378			0
MS3_11377	IPR003959	ATPase, AAA-type, core	0
MS3_11376	IPR022365	Clathrin, heavy chain, propeller repeat	1
MS3_11375			0
MS3_11374			0
MS3_11372			0
MS3_11371			0
MS3_11370			0
MS3_11369	IPR020828	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	0
MS3_11369	IPR020829	Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain	0
MS3_11368			0
MS3_11367	IPR006110	RNA polymerase, subunit omega/K/RPB6	1
MS3_11366			0
MS3_11365			0
MS3_11364			0
MS3_11363	IPR009622	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	1
MS3_11362	IPR001932	PPM-type phosphatase domain	0
MS3_11361	IPR000595	Cyclic nucleotide-binding domain	0
MS3_11360			0
MS3_11359			0
MS3_11358			0
MS3_11357			0
MS3_11356			0
MS3_11355			0
MS3_11354			0
MS3_11353			0
MS3_11352	IPR000555	JAB1/MPN/MOV34 metalloenzyme domain	0
MS3_11351			0
MS3_11350	IPR002125	Cytidine and deoxycytidylate deaminase domain	0
MS3_11349			0
MS3_11348	IPR001254	Serine proteases, trypsin domain	0
MS3_11347	IPR001024	PLAT/LH2 domain	0
MS3_11346	IPR012506	YhhN-like	1
MS3_11345	IPR001609	Myosin head, motor domain	0
MS3_11344			0
MS3_11343			0
MS3_11342			0
MS3_11341			0
MS3_11340			0
MS3_11339			0
MS3_11338			0
MS3_11337			0
MS3_11336	IPR001208	MCM domain	0
MS3_11335			0
MS3_11334	IPR013098	Immunoglobulin I-set	0
MS3_11333			0
MS3_11332	IPR010796	B9 domain	0
MS3_11331	IPR033742	IQ motif and SEC7 domain-containing protein, PH domain	0
MS3_11330			0
MS3_11329	IPR003406	Glycosyl transferase, family 14	0
MS3_11328			0
MS3_11327	IPR001611	Leucine-rich repeat	0
MS3_11326			0
MS3_11325			0
MS3_11324	IPR011701	Major facilitator superfamily	0
MS3_11323			0
MS3_11322			0
MS3_11321	IPR013149	Alcohol dehydrogenase, C-terminal	0
MS3_11320			0
MS3_11319			0
MS3_11318	IPR002017	Spectrin repeat	0
MS3_11317			0
MS3_11316			0
MS3_11315			0
MS3_11314			0
MS3_11313			0
MS3_11312			0
MS3_11311			0
MS3_11310	IPR000008	C2 domain	0
MS3_11310	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	0
MS3_11309			0
MS3_11308			0
MS3_11307			0
MS3_11306			0
MS3_11305			0
MS3_11304			0
MS3_11303			0
MS3_11302	IPR000330	SNF2-related, N-terminal domain	0
MS3_11301			0
MS3_11300	IPR000504	RNA recognition motif domain	0
MS3_11299			0
MS3_11298	IPR005062	SAC3/GANP/THP3	0
MS3_11297			0
MS3_11296			0
MS3_11295			0
MS3_11294			0
MS3_11293	IPR013126	Heat shock protein 70 family	0
MS3_11292			0
MS3_11291			0
MS3_11290	IPR009539	Vang-like protein	0
MS3_11289	IPR011545	DEAD/DEAH box helicase domain	0
MS3_11288			0
MS3_11287	IPR013098	Immunoglobulin I-set	0
MS3_11286			0
MS3_11285	IPR019049	Nucleoporin protein Ndc1-Nup	1
MS3_11284	IPR004148	BAR domain	0
MS3_11283	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	0
MS3_11281			0
MS3_11280	IPR002241	Glycoside hydrolase, family 27	0
MS3_11279			0
MS3_11278			0
MS3_11277			0
MS3_11276			0
MS3_11275			0
MS3_11274			0
MS3_11273	IPR000425	Major intrinsic protein	0
MS3_11272			0
MS3_11271	IPR020097	Pseudouridine synthase I, TruA, alpha/beta domain	0
MS3_11270			0
MS3_11268	IPR001766	Fork head domain	0
MS3_11267			0
MS3_11266			0
MS3_11265			0
MS3_11264			0
MS3_11263	IPR001650	Helicase, C-terminal	0
MS3_11262			0
MS3_11261			0
MS3_11258			0
MS3_11257	IPR024084	Isopropylmalate dehydrogenase-like domain	0
MS3_11256			0
MS3_11255			0
MS3_11254			0
MS3_11253	IPR001478	PDZ domain	0
MS3_11252	IPR005654	ATPase, AFG1-like	0
MS3_11251			0
MS3_11250	IPR000504	RNA recognition motif domain	0
MS3_11249	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	0
MS3_11248			0
MS3_11247	IPR004364	Aminoacyl-tRNA synthetase, class II (D/K/N)	0
MS3_11246	IPR002347	Short-chain dehydrogenase/reductase SDR	0
MS3_11245			0
MS3_11244			0
MS3_11243			0
MS3_11242	IPR005112	dDENN domain	0
MS3_11241			0
MS3_11240			0
MS3_11239	IPR006861	Hyaluronan/mRNA-binding protein	1
MS3_11238			0
MS3_11237			0
MS3_11236			0
MS3_11235			0
MS3_11234			0
MS3_11233			0
MS3_11232	IPR001478	PDZ domain	0
MS3_11231	IPR008383	Apoptosis inhibitory 5	1
MS3_11230			0
MS3_11229	IPR000652	Triosephosphate isomerase	0
MS3_11228			0
MS3_11227	IPR006751	TAFII55 protein, conserved region	1
MS3_11226	IPR002499	Major vault protein, N-terminal	1
MS3_11226	IPR021870	Major vault protein, shoulder domain	0
MS3_11225	IPR002110	Ankyrin repeat	0
MS3_11225	IPR020683	Ankyrin repeat-containing domain	0
MS3_11224	IPR006314	Dyp-type peroxidase	0
MS3_11223			0
MS3_11222			0
MS3_11221			0
MS3_11220	IPR019396	Transmembrane Fragile-X-F-associated protein	0
MS3_11219			0
MS3_11218	IPR020058	Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain	0
MS3_11217	IPR003959	ATPase, AAA-type, core	0
MS3_11216			0
MS3_11215			0
MS3_11214			0
MS3_11213	IPR003008	Tubulin/FtsZ, GTPase domain	0
MS3_11213	IPR018316	Tubulin/FtsZ, 2-layer sandwich domain	0
MS3_11212			0
MS3_11211	IPR006035	Ureohydrolase	1
MS3_11210	IPR022557	Domain of unknown function DUF3480	0
MS3_11209			0
MS3_11208			0
MS3_11207	IPR018887	Myeloid-derived growth factor	1
MS3_11206			0
MS3_11205	IPR032037	Methylmalonic aciduria and homocystinuria type C family	1
MS3_11202			0
MS3_11201			0
MS3_11200			0
MS3_11199			0
MS3_11198			0
MS3_11197			0
MS3_11196	IPR021013	ATPase, vacuolar ER assembly factor, Vma12	1
MS3_11195	IPR024567	Ribonuclease HII/HIII domain	1
MS3_11194	IPR002017	Spectrin repeat	0
MS3_11193			0
MS3_11192	IPR001680	WD40 repeat	0
MS3_11191	IPR000242	PTP type protein phosphatase	0
MS3_11190			0
MS3_11189	IPR006634	TRAM/LAG1/CLN8 homology domain	0
MS3_11188	IPR002083	MATH/TRAF domain	0
MS3_11185	IPR000788	Ribonucleotide reductase large subunit, C-terminal	1
MS3_11184			0
MS3_11183	IPR003961	Fibronectin type III	0
MS3_11183	IPR013098	Immunoglobulin I-set	0
MS3_11182			0
MS3_11181	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	0
MS3_11180	IPR018477	Bicaudal-D protein, microtubule-associated	0
MS3_11179	IPR006977	Yip1 domain	1
MS3_11178			0
MS3_11177			0
MS3_11176			0
MS3_11175			0
MS3_11174	IPR020683	Ankyrin repeat-containing domain	0
MS3_11173			0
MS3_11172	IPR019361	Histone PARylation factor 1	1
MS3_11171			0
MS3_11170			0
MS3_11169			0
MS3_11168	IPR013857	NADH:ubiquinone oxidoreductase intermediate-associated protein 30	0
MS3_11167			0
MS3_11166	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	0
MS3_11165			0
MS3_11164	IPR001660	Sterile alpha motif domain	0
MS3_11163			0
MS3_11162	IPR016180	Ribosomal protein L10e/L16	0
MS3_11161	IPR002109	Glutaredoxin	0
MS3_11160			0
MS3_11159			0
MS3_11158	IPR019368	Ribosomal protein S23/S29, mitochondrial	1
MS3_11157			0
MS3_11156	IPR005312	Protein of unknown function DUF1759	0
MS3_11155			0
MS3_11154			0
MS3_11153	IPR002110	Ankyrin repeat	0
MS3_11153	IPR020683	Ankyrin repeat-containing domain	0
MS3_11152	IPR012615	Trematode Eggshell Synthesis	0
MS3_11151			0
MS3_11150			0
MS3_11149	IPR004364	Aminoacyl-tRNA synthetase, class II (D/K/N)	0
MS3_11148			0
MS3_11147			0
MS3_11146			0
MS3_11145	IPR015338	Exostosin , C-terminal	0
MS3_11144	IPR013216	Methyltransferase type 11	0
MS3_11143			0
MS3_11142			0
MS3_11141			0
MS3_11140			0
MS3_11139	IPR001806	Small GTPase superfamily	0
MS3_11138			0
MS3_11137			0
MS3_11136			0
MS3_11135	IPR001680	WD40 repeat	0
MS3_11134	IPR001388	Synaptobrevin	0
MS3_11133	IPR019174	NADH dehydrogenase 1, beta subcomplex, subunit 6	1
MS3_11132			0
MS3_11131			0
MS3_11130			0
MS3_11129			0
MS3_11128			0
MS3_11127			0
MS3_11126			0
MS3_11125			0
MS3_11124			0
MS3_11123	IPR004826	Basic leucine zipper domain, Maf-type	0
MS3_11122	IPR000866	Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	0
MS3_11122	IPR019479	Peroxiredoxin, C-terminal	0
MS3_11121	IPR001173	Glycosyltransferase 2-like	0
MS3_11120			0
MS3_11119	IPR001254	Serine proteases, trypsin domain	0
MS3_11118			0
MS3_11117	IPR002687	Nop domain	0
MS3_11116	IPR027353	NET domain	0
MS3_11115	IPR002495	Glycosyl transferase, family 8	0
MS3_11114	IPR012615	Trematode Eggshell Synthesis	0
MS3_11113			0
MS3_11112	IPR003594	Histidine kinase-like ATPase, C-terminal domain	0
MS3_11111			0
MS3_11110			0
MS3_11109			0
MS3_11108			0
MS3_11107	IPR014012	Helicase/SANT-associated domain	0
MS3_11107	IPR014978	Glutamine-Leucine-Glutamine, QLQ	1
MS3_11106	IPR004944	Cyclin-dependent kinase 5 activator	0
MS3_11105			0
MS3_11104	IPR000048	IQ motif, EF-hand binding site	0
MS3_11104	IPR001609	Myosin head, motor domain	0
MS3_11103	IPR001781	Zinc finger, LIM-type	0
MS3_11102			0
MS3_11101	IPR028226	Protein LIN37	1
MS3_11100			0
MS3_11099			0
MS3_11098			0
MS3_11097	IPR001699	Transcription factor, T-box	0
MS3_11096			0
MS3_11095	IPR000836	Phosphoribosyltransferase domain	0
MS3_11094	IPR003959	ATPase, AAA-type, core	0
MS3_11093	IPR003615	HNH nuclease	1
MS3_11092	IPR002305	Aminoacyl-tRNA synthetase, class Ic	0
MS3_11091	IPR032678	tRNA synthetases class I, catalytic domain	1
MS3_11090	IPR003347	JmjC domain	0
MS3_11089			0
MS3_11088	IPR002659	Glycosyl transferase, family 31	0
MS3_11087	IPR001568	Ribonuclease T2-like	0
MS3_11086	IPR002500	Phosphoadenosine phosphosulphate reductase	1
MS3_11085	IPR001752	Kinesin motor domain	0
MS3_11084	IPR006085	XPG N-terminal	0
MS3_11084	IPR006086	XPG-I domain	0
MS3_11083			0
MS3_11082	IPR001828	Receptor, ligand binding region	0
MS3_11081			0
MS3_11080	IPR016137	RGS domain	0
MS3_11079			0
MS3_11078			0
MS3_11077	IPR004827	Basic-leucine zipper domain	0
MS3_11076			0
MS3_11075	IPR003644	Na-Ca exchanger/integrin-beta4	0
MS3_11075	IPR004837	Sodium/calcium exchanger membrane region	0
MS3_11075	IPR032452	Sodium/calcium exchanger domain, C-terminal extension	0
MS3_11074	IPR034913	MRPS27/PTCD2	1
MS3_11073	IPR010614	DEAD2	0
MS3_11072			0
MS3_11071			0
MS3_11070			0
MS3_11069			0
MS3_11068			0
MS3_11067			0
MS3_11066	IPR021843	Protein of unknown function DUF3437	1
MS3_11065	IPR002017	Spectrin repeat	0
MS3_11064	IPR001503	Glycosyl transferase family 10	0
MS3_11063			0
MS3_11062	IPR002049	Laminin EGF domain	0
MS3_11061	IPR000306	FYVE zinc finger	0
MS3_11060			0
MS3_11059	IPR001404	Heat shock protein Hsp90 family	0
MS3_11059	IPR003594	Histidine kinase-like ATPase, C-terminal domain	0
MS3_11058	IPR001680	WD40 repeat	0
MS3_11057	IPR018497	Peptidase M13, C-terminal domain	0
MS3_11056	IPR004160	Translation elongation factor EFTu/EF1A, C-terminal	0
MS3_11055			0
MS3_11054			0
MS3_11053			0
MS3_11052			0
MS3_11051			0
MS3_11050			0
MS3_11049	IPR004871	Cleavage/polyadenylation specificity factor, A subunit, C-terminal	0
MS3_11048	IPR009539	Vang-like protein	0
MS3_11047	IPR032071	Domain of unknown function DUF4806	0
MS3_11046	IPR006314	Dyp-type peroxidase	0
MS3_11045			0
MS3_11044			0
MS3_11043	IPR003166	Transcription factor TFIIE beta subunit, DNA-binding domain	1
MS3_11042			0
MS3_11041	IPR002733	AMMECR1 domain	1
MS3_11040	IPR004686	Tricarboxylate/iron carrier	0
MS3_11039	IPR014044	CAP domain	0
MS3_11038			0
MS3_11037			0
MS3_11036	IPR001568	Ribonuclease T2-like	0
MS3_11035	IPR027791	Galactosyltransferase, C-terminal	0
MS3_11035	IPR027995	Galactosyltransferase, N-terminal	0
MS3_11034	IPR000731	Sterol-sensing domain	0
MS3_11033	IPR008145	Guanylate kinase/L-type calcium channel beta subunit	0
MS3_11032	IPR002591	Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase	0
MS3_11031			0
MS3_11030	IPR002305	Aminoacyl-tRNA synthetase, class Ic	0
MS3_11029			0
MS3_11028			0
MS3_11027	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	0
MS3_11026			0
MS3_11025	IPR000034	Laminin IV	0
MS3_11024	IPR019171	Caffeine-induced death protein 2	0
MS3_11023	IPR005828	Major facilitator,  sugar transporter-like	0
MS3_11022	IPR005828	Major facilitator,  sugar transporter-like	0
MS3_11021			0
MS3_11020	IPR002049	Laminin EGF domain	0
MS3_11019			0
MS3_11018	IPR032552	Acin1, RNSP1-SAP18 binding (RSB) motif	1
MS3_11017			0
MS3_11016	IPR000330	SNF2-related, N-terminal domain	0
MS3_11015	IPR000445	Helix-hairpin-helix motif	1
MS3_11015	IPR003265	HhH-GPD domain	0
MS3_11014	IPR004122	Barrier- to-autointegration factor, BAF	1
MS3_11013			0
MS3_11012			0
MS3_11011	IPR001300	Peptidase C2, calpain, catalytic domain	0
MS3_11010			0
MS3_11009	IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	0
MS3_11009	IPR015940	Ubiquitin-associated domain	0
MS3_11008			0
MS3_11007			0
MS3_11006	IPR019007	WW domain binding protein 11	0
MS3_11005			0
MS3_11004	IPR002182	NB-ARC	1
MS3_11003	IPR011545	DEAD/DEAH box helicase domain	0
MS3_11002	IPR001510	Zinc finger, PARP-type	1
MS3_11001	IPR000873	AMP-dependent synthetase/ligase	0
MS3_11000			0
MS3_10999			0
MS3_10998	IPR001564	Nucleoside diphosphate kinase	0
MS3_10997			0
MS3_10996			0
MS3_10995	IPR017266	Cyclin-dependent kinase 2-associated protein 1/2	1
MS3_10994			0
MS3_10993			0
MS3_10992			0
MS3_10991	IPR019787	Zinc finger, PHD-finger	0
MS3_10990	IPR005828	Major facilitator,  sugar transporter-like	0
MS3_10989	IPR011704	ATPase, dynein-related, AAA domain	0
MS3_10988			0
MS3_10987			0
MS3_10986	IPR000477	Reverse transcriptase domain	0
MS3_10985			0
MS3_10984			0
MS3_10983	IPR002156	Ribonuclease H domain	1
MS3_10982			0
MS3_10981			0
MS3_10980	IPR001695	Lysyl oxidase	0
MS3_10979	IPR002478	PUA domain	1
MS3_10978			0
MS3_10977	IPR014908	Nucleoporin, Nup133/Nup155-like, N-terminal	0
MS3_10976			0
MS3_10975	IPR006222	Glycine cleavage T-protein-like, N-terminal	0
MS3_10974			0
MS3_10973			0
MS3_10972			0
MS3_10971	IPR002347	Short-chain dehydrogenase/reductase SDR	0
MS3_10968	IPR007523	NDUFAF3/Mth938 domain-containing protein	0
MS3_10967			0
MS3_10966			0
MS3_10965	IPR008211	Laminin, N-terminal	0
MS3_10964			0
MS3_10963			0
MS3_10962			0
MS3_10961			0
MS3_10957			0
MS3_10956	IPR007945	Neuroendocrine 7B2 precursor	1
MS3_10955			0
MS3_10954	IPR011021	Arrestin-like, N-terminal	0
MS3_10953	IPR008146	Glutamine synthetase, catalytic domain	0
MS3_10952			0
MS3_10951	IPR006085	XPG N-terminal	0
MS3_10950	IPR000905	Gcp-like domain	0
MS3_10949			0
MS3_10948			0
MS3_10947	IPR001096	Peptidase C13, legumain	0
MS3_10946	IPR004853	Sugar phosphate transporter domain	0
MS3_10945			0
MS3_10944			0
MS3_10943	IPR000608	Ubiquitin-conjugating enzyme E2	0
MS3_10943	IPR009991	Dynactin subunit p22	1
MS3_10942			0
MS3_10941	IPR001806	Small GTPase superfamily	0
MS3_10940	IPR000980	SH2 domain	0
MS3_10940	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	0
MS3_10939	IPR001715	Calponin homology domain	0
MS3_10938	IPR015318	Zinc finger, GAGA-binding factor	1
MS3_10937			0
MS3_10936			0
MS3_10935	IPR008429	Cleft lip and palate transmembrane 1	0
MS3_10934			0
MS3_10933			0
MS3_10932	IPR007863	Peptidase M16, C-terminal	0
MS3_10932	IPR032632	Peptidase M16, middle/third domain	0
MS3_10931	IPR023796	Serpin domain	0
MS3_10930	IPR003877	SPRY domain	0
MS3_10929			0
MS3_10928			0
MS3_10927	IPR001650	Helicase, C-terminal	0
MS3_10926	IPR018574	Structure-specific endonuclease subunit Slx4	0
MS3_10925	IPR002300	Aminoacyl-tRNA synthetase, class Ia	0
MS3_10924	IPR008753	Peptidase M13, N-terminal domain	0
MS3_10923	IPR002372	Pyrrolo-quinoline quinone repeat	1
MS3_10923	IPR009081	Phosphopantetheine binding ACP domain	0
MS3_10922			0
MS3_10921	IPR000352	Peptide chain release factor class I/class II	0
MS3_10920			0
MS3_10919	IPR001254	Serine proteases, trypsin domain	0
MS3_10918	IPR001254	Serine proteases, trypsin domain	0
MS3_10917			0
MS3_10916			0
MS3_10915	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	0
MS3_10914			0
MS3_10913			0
MS3_10912	IPR002737	MEMO1 family	0
MS3_10911	IPR002737	MEMO1 family	0
MS3_10910			0
MS3_10909			0
MS3_10908			0
MS3_10907			0
MS3_10906	IPR006050	DNA photolyase, N-terminal	0
MS3_10905	IPR001005	SANT/Myb domain	0
MS3_10904	IPR011613	Glycoside hydrolase family 15/Phosphorylase b kinase regulatory chain family	0
MS3_10903	IPR028909	Ribosomal protein L21-like	1
MS3_10902	IPR030379	Septin-type guanine nucleotide-binding (G) domain	0
MS3_10901	IPR001453	MoaB/Mog domain	0
MS3_10900	IPR011611	Carbohydrate kinase PfkB	0
MS3_10899	IPR004038	Ribosomal protein L7Ae/L30e/S12e/Gadd45	0
MS3_10898	IPR012989	SEP domain	0
MS3_10897			0
MS3_10896			0
MS3_10895	IPR000719	Protein kinase domain	0
MS3_10894			0
MS3_10893	IPR001577	Peptidase M8, leishmanolysin	0
MS3_10892	IPR001932	PPM-type phosphatase domain	0
MS3_10891	IPR000361	FeS cluster biogenesis	0
MS3_10890			0
MS3_10889	IPR011701	Major facilitator superfamily	0
MS3_10888			0
MS3_10887			0
MS3_10886			0
MS3_10885			0
MS3_10884	IPR000626	Ubiquitin domain	0
MS3_10883	IPR001611	Leucine-rich repeat	0
MS3_10882			0
MS3_10881	IPR009038	GOLD domain	0
MS3_10880	IPR000242	PTP type protein phosphatase	0
MS3_10880	IPR003961	Fibronectin type III	0
MS3_10879	IPR009294	Gamma-secretase subunit Aph-1	1
MS3_10878			0
MS3_10877			0
MS3_10876	IPR018574	Structure-specific endonuclease subunit Slx4	0
MS3_10875			0
MS3_10874	IPR014908	Nucleoporin, Nup133/Nup155-like, N-terminal	0
MS3_10873	IPR002049	Laminin EGF domain	0
MS3_10872			0
MS3_10871			0
MS3_10870			0
MS3_10869	IPR000276	G protein-coupled receptor, rhodopsin-like	0
MS3_10868			0
MS3_10867			0
MS3_10866	IPR000467	G-patch domain	0
MS3_10865	IPR002172	Low-density lipoprotein (LDL) receptor class A repeat	0
MS3_10864			0
MS3_10863	IPR001214	SET domain	0
MS3_10862			0
MS3_10861			0
MS3_10860			0
MS3_10859	IPR001763	Rhodanese-like domain	0
MS3_10858			0
MS3_10857	IPR011704	ATPase, dynein-related, AAA domain	0
MS3_10856			0
MS3_10855			0
MS3_10854			0
MS3_10853	IPR029333	Ciliary BBSome complex subunit 2, C-terminal domain	0
MS3_10852	IPR000242	PTP type protein phosphatase	0
MS3_10851			0
MS3_10850	IPR007918	Mitochondrial distribution/morphology family 35/apoptosis	1
MS3_10849			0
MS3_10848			0
MS3_10847	IPR007125	Histone H2A/H2B/H3	0
MS3_10846			0
MS3_10845	IPR011704	ATPase, dynein-related, AAA domain	0
MS3_10844	IPR002934	Polymerase, nucleotidyl transferase domain	0
MS3_10844	IPR007012	Poly(A) polymerase, central domain	0
MS3_10843	IPR006202	Neurotransmitter-gated ion-channel ligand-binding domain	0
MS3_10842			0
MS3_10841			0
MS3_10840	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	0
MS3_10839			0
MS3_10838			0
