MS3_id	uniprot_id	gene_name_species	sp_ident	sp_sim	sp_cov	sman_id	sman_ident	sman_simil	sman_cov	sjap_id	sjap_ident	sjap_simil	sjap_cov	opvi_id	opvi_ident	opvi_simil	opvi_cov	closi_id	closi_ident	closi_simil	closi_cov	fahe_id	fahe_ident	fahe_simil	fahe_cov	male_tpm	female_tpm	cel_id	cel_ident	cel_simil	cel_cov	dmel_id	dmel_ident	dmel_simil	dmel_cov	mus_id	mus_ident	mus_simil	mus_cov	hsa_id	hsa_ident	hsa_simil	hsa_lower_75_qtl	hsa_cov	cel_leth	dmel_leth	mus_leth	chokepoint
MS3_11557						Smp_126440.1	5.7	5.7	1	Sjp_0083240	50.4	57.0	1	T265_07023	3.5	4.2	0.875	csin107833	3.9	4.7	0.875	D915_13199	12.0	13.5	0.875	216.40	68.16																					FALSE
MS3_11556						Smp_189290.1	28.7	39.8	0.986301																	0.00	0.00																					FALSE
MS3_11555																										0.00	0.00																					FALSE
MS3_11554	Q8K4Q0	RPTOR_MOUSE	2.8	3.9	0.974684	Smp_159000.1	4.9	5.1	1					T265_02419	1.8	2.5	1	csin104771	5.3	7.2	1	D915_04464	17.0	21.0	1	0.00	0.00					FBpp0305180	1.7	2.6	0.898734	ENSMUSP00000026671.6	2.8	3.9	0.974684	ENSP00000442479.2	3.2	4.3	TRUE	0.974684		FBpp0305180	ENSMUSP00000026671.6	FALSE
MS3_11553						Smp_150240.1	9.0	13.9	1																	0.00	0.00																					FALSE
MS3_11552	Q9Y2Y1	RPC10_HUMAN	37.6	52.1	0.921739	Smp_034100.1	96.5	98.3	1	Sjp_0061000	94.8	96.5	1	T265_00110	50.8	54.8	1	csin111268	13.2	14.2	1	D915_01653	84.3	88.7	1	166.15	314.31	Y77E11A.6a	39.0	50.8	0.913043	FBpp0085563	37.6	54.7	0.921739	ENSMUSP00000044582.8	37.6	51.3	0.921739	ENSP00000293860.5	37.6	51.3	FALSE	0.921739				FALSE
MS3_11551	P48158	RL23_CAEEL	65.7	73.6	1	Smp_007900.1	81.4	81.4	1	Sjp_0031920	81.4	81.4	1	T265_08876	75.7	80.0	1	csin109027	75.7	80.0	1					0.36	0.00	B0336.10	65.7	73.6	1	FBpp0071808	65.0	74.3	1	ENSMUSP00000099435.4	61.4	74.3	1	ENSP00000377865.1	61.4	74.3	FALSE	1	B0336.10	FBpp0071808		FALSE
MS3_11550	Q86DA5	SARM1_CAEEL	4.0	5.5	0.830189	Smp_012780.1	8.6	8.7	1	Sjp_0057800	7.2	7.8	1	T265_04888	8.4	13.5	0.858491	csin107983	3.6	5.7	0.858491					17.78	3.56	F13B10.1a	4.3	5.9	0.830189	FBpp0293531	3.5	4.8	0.792453	ENSMUSP00000051059.6	4.7	6.7	0.783019	ENSP00000468032.2	5.1	7.0	TRUE	0.783019		FBpp0293531		FALSE
MS3_11549	Q2HJH8	CK070_BOVIN	15.8	23.7	0.89	Smp_104120.1	78.8	81.4	0.99					T265_10341	16.5	24.7	0.92	csin108597	33.3	47.0	0.85					8.28	2.16									ENSMUSP00000063450.1	15.8	24.1	0.89	ENSP00000433074.1	19.2	28.0	TRUE	0.91				FALSE
MS3_11548						Smp_109340.1	39.6	42.3	0.98773	Sjp_0057380	24.7	32.0	0.969325	T265_07657	11.5	22.1	0.98773	csin106667	15.2	25.2	0.957055	D915_00233	9.7	18.7	0.797546	316.30	104.28																					FALSE
MS3_11546						Smp_076580.1	19.5	19.8	1	Sjp_0083640	11.0	11.8	1	T265_11059	7.8	12.8	1	csin111187	9.1	14.4	0.957746	D915_13274	9.4	12.4	0.901408	9.72	11.31	C15H11.4	7.1	12.1	0.929577	FBpp0087997	7.8	13.2	0.943662					ENSP00000267502.3	7.5	11.8	TRUE	0.929577				FALSE
MS3_11544	P35661	GST27_SCHMA	61.0	63.1	1	Smp_102070.1	61.0	63.1	1	Sjp_0038300	49.1	54.1	1	T265_04264	31.7	38.5	1	csin106403	34.9	42.2	1	D915_11958	25.4	33.4	1	195.55	465.22	Y32G9A.1	16.9	29.6	0.968504					ENSMUSP00000029489.8	29.4	38.1	1	ENSP00000358846.2	28.2	35.9	TRUE	1				FALSE
MS3_11543						Smp_161790.1	33.5	34.2	1	Sjp_0077530	52.0	56.4	0.94													129.14	12.36																					FALSE
MS3_11542						Smp_128990.1	12.0	12.7	1	Sjp_0044390	10.0	11.0	0.990099									D915_09322	22.9	34.7	0.722772	49.58	29.10																					FALSE
MS3_11541	Q2PZL6	FAT4_MOUSE	0.5	0.7	0.8125	Smp_140600.1	7.5	8.2	1	Sjp_0046830	3.2	4.2	0.825	T265_01276	3.1	4.2	0.9875	csin111574	3.1	4.2	0.9875					0.00	0.00					FBpp0084498	2.0	2.6	0.8625	ENSMUSP00000061836.7	0.5	0.7	0.8125	ENSP00000481542.3	1.6	2.5	TRUE	0.875		FBpp0084498	ENSMUSP00000061836.7	FALSE
MS3_11540						Smp_184400.1	78.4	84.3	1																	0.00	0.00																					FALSE
MS3_11537						Smp_157380.1	7.0	7.3	1	Sjp_0049590	2.6	3.5	0.653659													155.13	142.18																					FALSE
MS3_11536						Smp_185220.1	85.7	87.8	1																	0.00	0.00																					FALSE
MS3_11535						Smp_167710.1	35.6	41.8	1																	0.00	0.00																					FALSE
MS3_11534	Q3T0Q8	UT14A_BOVIN	8.1	12.5	0.889447	Smp_012340.1	34.1	36.0	1	Sjp_0070300	28.0	34.6	0.979899	T265_02946	20.0	27.9	1	csin101247	30.1	42.5	1	D915_11459	32.2	47.0	0.98995	46.34	35.22					FBpp0075317	7.8	11.9	0.919598	ENSMUSP00000052149.5	7.8	12.0	0.934673							FBpp0075317		TRUE
MS3_11533	O94581	COX12_SCHPO	34.6	50.5	0.803738	Smp_144000.1	78.5	85.0	0.878505	Sjp_0001130	34.9	43.1	0.514019	T265_15969	43.5	58.3	0.878505					D915_02559	40.5	54.1	0.850467	427.43	595.85	Y71H2AM.5	23.4	35.8	0.850467	FBpp0074584	32.7	53.6	0.869159	ENSMUSP00000075150.4	30.0	43.6	0.775701	ENSP00000246554.2	32.7	45.5	TRUE	0.775701	Y71H2AM.5	FBpp0074584		FALSE
MS3_11532	Q9WVM1	RGAP1_MOUSE	8.4	13.3	0.984962	Smp_021590.1	21.3	21.5	1	Sjp_0001730	14.4	16.7	0.969925	T265_07985	16.7	19.7	0.992481	csin109366	17.3	20.2	0.992481	D915_08899	18.1	21.3	0.804511	10.27	26.92	K08E3.6	5.6	10.5	0.984962	FBpp0086767	9.5	13.8	0.954887	ENSMUSP00000023756.5	8.4	13.3	0.984962	ENSP00000309871.5	8.2	13.2	TRUE	0.984962	K08E3.6	FBpp0086767	ENSMUSP00000023756.5	FALSE
MS3_11531						Smp_137970.1	12.1	12.8	1	Sjp_0040230	15.6	18.6	0.990826													18.15	8.39																					FALSE
MS3_11530						Smp_177270.1	82.6	83.5	0.890909	Sjp_0011140	14.5	15.3	1	T265_09470	3.2	4.3	0.881818	csin107525	3.0	3.9	0.881818	D915_01041	25.5	35.1	0.918182	15.03	2.50																					FALSE
MS3_11529	Q6PGZ3	MIPT3_DANRE	4.9	8.6	1	Smp_173850.1	42.2	44.7	1	Sjp_0023800	10.6	12.3	1	T265_13139	8.8	11.7	1	csin112747	14.3	19.8	1	D915_11134	32.3	47.2	1	4.68	2.18	C02H7.1	4.3	8.9	0.972603					ENSMUSP00000042391.7	5.0	8.0	1	ENSP00000362424.4	4.5	7.4	TRUE	1			ENSMUSP00000042391.7	FALSE
MS3_11528	P21447	MDR1A_MOUSE	7.9	9.8	0.97546	Smp_089200.1	14.6	15.0	1	Sjp_0122070	37.9	40.1	1	T265_13344	10.3	12.0	1	csin105003	9.5	11.0	1	D915_13304	43.7	49.0	1	16.57	5.86	C34G6.4a	8.0	9.9	0.96319	FBpp0086666	7.1	9.8	0.97546	ENSMUSP00000041204.4	7.9	9.8	0.97546	ENSP00000351172.3	8.2	10.3	TRUE	0.969325		FBpp0086666		FALSE
MS3_11527	Q2S1L8	SYE_SALRD	10.5	13.5	0.84466	Smp_009520.1	16.8	16.8	1	Sjp_0066020	21.1	22.0	1	T265_07520	7.7	9.7	0.572816	csin103748	7.3	9.2	0.61165	D915_15485	8.2	11.9	0.805825	22.45	16.62	T07A9.2	10.7	12.9	0.84466	FBpp0075169	9.9	13.6	0.980583	ENSMUSP00000033159.3	10.7	14.0	1	ENSP00000395196.1	10.5	13.9	TRUE	0.980583	T07A9.2	FBpp0075169		FALSE
MS3_11526	O14737	PDCD5_HUMAN	29.4	36.5	0.984615	Smp_058350.1	55.4	57.1	1	Sjp_0033620	43.6	45.7	1	T265_03223	28.5	36.7	1					D915_05967	25.3	31.3	1	134.79	176.46	D2005.3	23.1	34.6	1	FBpp0075238	24.6	36.6	0.984615	ENSMUSP00000113761.1	29.1	37.0	0.984615	ENSP00000476525.1	28.5	35.4	TRUE	0.984615		FBpp0075238		FALSE
MS3_11525						Smp_130800.1	26.7	27.3	1	Sjp_0001560	16.5	18.2	0.994652	T265_15301	14.1	17.9	0.973262	csin108520	17.4	21.9	0.973262	D915_07848	41.0	52.0	0.97861	14.60	23.72																					FALSE
MS3_11524						Smp_116800.1	44.3	44.9	1	Sjp_0088130	7.2	7.9	1													0.00	0.14																					FALSE
MS3_11523						Smp_093950.1	32.9	33.2	1	Sjp_0102330	32.5	35.1	1	T265_02606	15.3	19.3	0.897436	csin109007	15.2	19.1	0.902564	D915_06736	20.6	26.5	0.953846	117.07	98.91																					FALSE
MS3_11522						Smp_056990.1	39.5	42.5	1	Sjp_0025780	8.9	10.6	0.994012	T265_02868	10.0	16.2	0.88024	csin100761	9.9	16.6	0.922156					65.72	17.16																					FALSE
MS3_11521						Smp_198870.1	4.1	4.6	1	Sjp_0053110	8.3	10.0	1	T265_14738	3.2	4.7	1	csin104077	4.1	5.7	1	D915_01183	12.4	16.3	1	1.18	0.00	R09E10.3	3.7	4.9	0.981818																	FALSE
MS3_11520						Smp_165420.1	2.0	2.0	1	Sjp_0054950	1.9	2.2	1													0.63	0.00																					FALSE
MS3_11519	Q3YK19	FANCJ_CHICK	5.8	7.7	0.992593	Smp_173440.1	17.7	18.3	1	Sjp_0093110	3.4	5.4	0.851852	T265_15689	11.2	13.4	1	csin108401	10.1	12.8	0.977778					0.00	0.00	F33H2.1	4.8	8.5	0.992593	FBpp0070773	4.5	7.1	1	ENSMUSP00000043108.3	6.0	8.0	0.977778	ENSP00000259008.2	5.4	7.6	TRUE	0.977778				FALSE
MS3_11518						Smp_131700.1	15.8	15.9	1	Sjp_0131470	19.0	20.9	0.971831	T265_10146	5.3	7.4	0.894366	csin103979	6.1	8.7	0.894366	D915_00025	17.6	27.4	0.922535	30.88	8.79																					FALSE
MS3_11517						Smp_140540.1	89.7	92.1	1									csin111897	31.0	46.7	1	D915_10202	28.9	44.7	0.993939	0.00	0.40																					FALSE
MS3_11516	P42684	ABL2_HUMAN	5.2	7.0	0.682796	Smp_128790.1	11.2	12.0	0.956989	Sjp_0070320	45.7	49.3	0.978495	T265_08093	9.2	10.9	0.930108	csin104795	8.9	10.9	0.956989	D915_05300	36.7	42.1	0.784946	8.94	5.84	M79.1c	4.5	7.3	0.758065	FBpp0075116	3.5	4.8	0.666667	ENSMUSP00000027888.6	5.2	7.1	0.682796	ENSP00000339209.3	5.8	7.7	TRUE	0.682796		FBpp0075116		TRUE
MS3_11515						Smp_170980.1	19.5	23.4	1	Sjp_0040390	6.6	9.0	0.96													0.00	0.00																					FALSE
MS3_11514	O95271	TNKS1_HUMAN	4.8	5.8	0.474654	Smp_128950.1	13.7	14.3	1	Sjp_0061170	19.2	20.2	0.59447	T265_08999	6.5	8.1	0.894009	csin100062	6.7	8.4	0.894009					35.61	28.07					FBpp0084264	5.8	7.1	0.465438	ENSMUSP00000025729.5	5.6	6.2	0.442396	ENSP00000311579.6	4.8	5.8	TRUE	0.474654			ENSMUSP00000025729.5	FALSE
MS3_11513						Smp_128940.1	14.1	15.0	1	Sjp_0086150	24.0	26.7	1	T265_08023	5.8	8.4	0.9	csin107482	5.9	8.3	0.911111	D915_04629	8.4	12.7	0.888889	0.00	0.36	F45H11.4c	4.5	7.1	0.755556	FBpp0271833	3.1	5.2	0.794444													FALSE
MS3_11512						Smp_152740.1	20.7	21.5	0.99435	Sjp_0118420	15.6	18.6	1	T265_00719	7.3	10.8	0.870056	csin111771	10.4	14.2	0.909605	D915_03189	10.5	16.4	0.909605	30.71	63.50																					FALSE
MS3_11511						Smp_128790.1	11.9	12.3	1					T265_08093	4.8	6.3	0.863905	csin104795	4.5	5.9	0.822485	D915_05301	5.7	7.2	0.87574	20.18	3.82																					FALSE
MS3_11510						Smp_012580.1	16.1	17.2	1																	6.27	3.40																					FALSE
MS3_11509	P23358	RL12_RAT	73.9	84.2	1	Smp_012750.1	99.4	100.0	1	Sjp_0113150	97.0	99.4	1	T265_14389	34.0	38.5	0.987879	csin104821	23.3	26.7	0.957576					1011.32	2350.12	JC8.3a	69.7	84.8	1	FBpp0072083	74.5	85.5	1	ENSMUSP00000117461.1	73.9	84.2	1	ENSP00000354739.5	73.3	84.2	FALSE	1		FBpp0072083		TRUE
MS3_11508						Smp_163280.1	40.2	46.5	1																	9.79	4.07																					FALSE
MS3_11507																										23.93	26.18																					FALSE
MS3_11506						Smp_125770.2	12.3	12.9	0.887805	Sjp_0022470	9.7	11.0	0.912195	T265_08339	4.5	6.8	0.960976									1.33	0.00																					FALSE
MS3_11505	Q14831	GRM7_HUMAN	6.9	10.3	0.87	Smp_128940.1	15.2	16.0	1	Sjp_0086150	25.9	27.5	0.945	T265_08023	7.2	10.8	0.915	csin107482	7.2	10.7	0.915	D915_03689	9.5	20.0	0.59	0.46	2.22	ZC506.4a	6.1	9.4	0.855	FBpp0271833	4.6	6.9	0.88	ENSMUSP00000064404.6	6.9	10.2	0.87	ENSP00000350348.4	6.9	10.3	TRUE	0.87				FALSE
MS3_11504	O02197	CCA_SCHMA	61.4	62.8	1	Smp_211120.1	62.3	63.7	1	Sjp_0051050	36.7	43.9	0.995595	T265_02809	20.6	32.1	0.907489	csin110389	19.8	29.9	0.806167	D915_08562	16.6	24.8	0.735683	8.62	3.55																					FALSE
MS3_11503						Smp_096180.1	83.1	89.0	1	Sjp_0027040	14.1	17.6	0.804511													107.08	21.84																					FALSE
MS3_11502						Smp_056930.1	9.6	9.8	1	Sjp_0019550	6.5	6.8	0.979058	T265_12618	2.4	3.2	0.937173					D915_02416	11.5	15.1	0.921466	28.21	8.00																					FALSE
MS3_11501						Smp_177900.1	4.8	7.8	1	Sjp_0072920	7.0	8.6	1	T265_09435	1.6	2.4	0.990826	csin101394	3.8	6.1	1	D915_09431	10.8	14.6	1	5.36	1.94																					FALSE
MS3_11500						Smp_202160.1	30.4	35.6	0.540541					T265_03840	14.3	19.9	1	csin112049	35.7	50.6	1	D915_03613	33.9	47.1	0.900901	26.40	24.63																					FALSE
MS3_11499						Smp_128890.2	6.7	7.0	1	Sjp_0034860	19.2	24.3	0.933333													22.29	8.24																					FALSE
MS3_11498						Smp_179530.1	39.1	45.4	0.981818	Sjp_0001020	6.4	13.8	0.890909	T265_00184	24.8	35.8	0.963636	csin102574	4.2	7.6	1	D915_00862	14.7	23.0	0.939394	0.57	0.79																					FALSE
MS3_11497						Smp_128890.1	7.4	7.6	1					T265_13978	2.2	3.2	0.979021	csin112184	2.5	3.5	0.979021	D915_10391	27.0	39.0	0.881119	5.05	3.74																					FALSE
MS3_11496	Q9BTE1	DCTN5_HUMAN	73.1	86.6	0.978495	Smp_033990.1	98.9	98.9	1	Sjp_0060980	86.6	89.8	0.924731	T265_11727	68.5	74.4	1	csin109762	87.1	94.6	1	D915_12116	69.4	73.1	0.774194	0.00	0.00	Y71F9AL.14	41.4	65.6	0.989247	FBpp0080255	56.5	73.1	0.978495	ENSMUSP00000033156.4	73.7	86.6	0.978495	ENSP00000300087.2	73.1	86.6	FALSE	0.978495	Y71F9AL.14	FBpp0080255		FALSE
MS3_11495						Smp_009070.1	28.0	28.6	1	Sjp_0089400	27.1	28.4	1					csin101334	14.3	18.7	0.960452	D915_00189	41.8	52.6	0.909605	36.74	25.40																					FALSE
MS3_11494						Smp_154440.1	6.3	6.8	1	Sjp_0040670	8.0	9.7	1													45.52	8.87																					FALSE
MS3_11493	Q9NYJ1	COA4_HUMAN	30.0	48.9	0.958904	Smp_033510.1	93.2	95.9	1																	11.70	2.18	T20D3.3c	27.7	45.7	0.958904	FBpp0307783	29.3	41.5	0.767123	ENSMUSP00000053727.3	28.7	50.0	0.90411	ENSP00000347919.4	30.0	48.9	FALSE	0.958904				FALSE
MS3_11492						Smp_187350.1	13.2	13.9	1	Sjp_0046520	7.9	8.5	0.869565					csin109732	1.9	2.5	0.902174					600.09	417.85																					FALSE
MS3_11491	Q32PW3	TAF2_DANRE	7.9	12.2	0.848921	Smp_128960.1	22.3	22.7	0.996403	Sjp_0022540	10.8	11.5	0.690647	T265_14113	13.6	15.8	0.985612	csin102295	14.2	16.5	0.985612	D915_04417	38.7	44.8	0.92446	8.46	5.96					FBpp0076090	7.6	11.5	0.845324	ENSMUSP00000043733.7	8.0	12.1	0.834532	ENSP00000367406.2	8.4	12.5	TRUE	0.863309		FBpp0076090		FALSE
MS3_11490						Smp_140260.1	6.5	6.6	1	Sjp_0133140	20.7	21.9	0.978102	T265_06260	3.0	4.1	0.970803	csin102944	3.0	4.0	0.970803	D915_03139	19.2	25.4	0.956204	16.12	2.47																					FALSE
MS3_11489						Smp_147010.1	8.2	12.0	0.825623	Sjp_0072490	19.2	22.4	0.946619	T265_08332	11.2	16.4	0.83274	csin102903	11.3	17.4	0.857651					16.94	3.97																					FALSE
MS3_11488	Q9BZ95	NSD3_HUMAN	3.3	5.4	1	Smp_137060.1	10.2	10.2	1	Sjp_0073290	43.2	48.0	1					csin112319	6.5	8.7	0.992857	D915_11253	37.1	50.0	0.978571	7.88	1.42					FBpp0307022	3.5	5.6	0.957143	ENSMUSP00000110039.1	7.8	12.7	0.985714	ENSP00000308780.6	7.6	11.4	TRUE	1			ENSMUSP00000110039.1	FALSE
MS3_11487	Q9GV16	EGCSE_CYANO	14.7	22.6	0.990654	Smp_193630.1	74.2	77.3	1	Sjp_0004640	19.3	26.1	0.985981	T265_04204	15.6	22.8	0.995327	csin110568	16.0	23.2	0.995327	D915_06719	17.3	25.0	0.985981	0.00	0.00																					FALSE
MS3_11486						Smp_154440.1	7.6	7.9	0.996416	Sjp_0040670	8.1	10.3	0.978495													78.67	17.62																					FALSE
MS3_11484	Q09666	AHNK_HUMAN	1.7	2.2	0.930233	Smp_038730.10	18.2	18.7	0.930233	Sjp_0088690	14.4	15.9	0.990698	T265_16261	30.9	45.6	0.818605	csin101331	5.0	7.4	0.865116	D915_11838	9.4	12.5	0.753488	0.00	0.00									ENSMUSP00000090633.2	1.6	2.2	0.911628	ENSP00000367263.4	1.7	2.2	TRUE	0.930233			ENSMUSP00000090633.2	FALSE
MS3_11482	P29742	CLH_DROME	9.0	9.8	1	Smp_154420.1	12.8	12.9	1	Sjp_0040760	20.8	21.2	1	T265_10825	13.7	14.4	1	csin103471	10.1	11.5	0.769231					121.07	74.32	T20G5.1	7.4	8.7	0.983516	FBpp0073966	9.0	9.8	1	ENSMUSP00000050220.9	8.9	9.6	1	ENSP00000269122.3	9.0	9.7	TRUE	1	T20G5.1	FBpp0073966		FALSE
MS3_11481						Smp_161790.2	27.8	28.3	1	Sjp_0077530	29.2	31.5	1	T265_05426	6.1	7.6	1	csin111624	10.1	12.6	1					285.96	30.53																					FALSE
MS3_11480						Smp_155910.1	31.9	41.6	0.912281																	0.00	0.00																					FALSE
MS3_11479						Smp_140420.1	11.6	12.0	0.995215	Sjp_0051080	10.8	13.0	1	T265_07587	4.4	6.4	0.92823	csin101818	4.5	6.7	0.92823	D915_08374	9.6	14.5	0.889952	0.00	0.00																					FALSE
MS3_11478						Smp_143670.1	32.6	37.6	0.992701	Sjp_0008520	30.4	39.1	0.992701	T265_07919	17.9	29.6	0.974453	csin105888	11.5	19.5	0.927007	D915_09145	17.2	30.5	0.99635	0.49	0.45													ENSP00000318484.7	10.2	19.7	TRUE	0.864964				FALSE
MS3_11477	Q7SYR1	OSGEP_XENLA	14.3	20.3	1	Smp_120900.1	66.7	68.4	1	Sjp_0050120	82.2	86.7	1	T265_10617	5.4	6.5	1	csin113018	5.8	7.0	1	D915_05146	33.1	40.5	0.923077	29.94	24.83	Y71H2AM.1	14.5	18.1	1	FBpp0075139	13.8	17.6	1	ENSMUSP00000006452.6	24.2	33.3	1	ENSP00000451580.1	30.9	41.6	TRUE	1		FBpp0075139		FALSE
MS3_11476						Smp_171350.1	16.8	21.0	1																	0.00	0.00																					FALSE
MS3_11475						Smp_012480.1	16.7	19.4	0.876652					T265_10699	9.2	14.3	0.920705	csin109396	7.0	11.0	0.903084					10.57	12.95																					FALSE
MS3_11474										Sjp_0040390	4.9	5.9	0.946903	T265_14787	4.3	7.2	0.849558	csin101122	4.0	7.7	1	D915_11409	14.6	23.5	0.876106	0.15	0.00																					FALSE
